	Janeiro	Feveiro	Março	Abril	Maio	Junho	Julho	Agosto	Setembro	Outubro	Novembro	Dezembro
(%) Margem Geração	2,09%	13,26%	13,53%	15,80%	14,55%	18,66%	11,81%	21,17%	22,50%	22,64%	24,40%	24,16%
												
Métricas Gerais												
Receita Total	R$ 1.322.104	R$ 1.459.480	R$ 1.542.781	R$ 1.699.360	R$ 1.816.524	R$ 1.916.860	R$ 2.064.099	R$ 2.182.299	R$ 2.294.808	R$ 2.459.892	R$ 2.578.872	R$ 2.688.696
Despesa Total	R$ 1.297.892	R$ 1.291.407	R$ 1.357.664	R$ 1.464.726	R$ 1.584.978	R$ 1.601.851	R$ 1.850.795	R$ 1.777.052	R$ 1.842.154	R$ 1.977.605	R$ 2.032.642	R$ 2.123.926
Vendas MRR	R$ 215.000	R$ 215.000	R$ 215.000	R$ 240.000	R$ 240.000	R$ 240.000	R$ 270.000	R$ 270.000	R$ 270.000	R$ 300.000	R$ 300.000	R$ 300.000
Vendas Pontual	R$ 270.000	R$ 270.000	R$ 270.000	R$ 325.000	R$ 325.000	R$ 325.000	R$ 380.000	R$ 380.000	R$ 380.000	R$ 435.000	R$ 435.000	R$ 435.000
Numero de Colaboradores	126	129	138	143	147	151	158	163	166	172	175	179
Receita Cabeça	R$ 11.283	R$ 12.165	R$ 12.021	R$ 12.642	R$ 13.146	R$ 13.505	R$ 13.898	R$ 14.243	R$ 14.707	R$ 15.215	R$ 15.677	R$ 15.979
MRR Cabeça	R$ 9.181	R$ 9.827	R$ 9.918	R$ 10.388	R$ 10.828	R$ 11.182	R$ 11.434	R$ 11.742	R$ 12.119	R$ 12.387	R$ 12.794	R$ 13.058
Numero de Clientes	290	319	340	365	388	409	434	458	479	505	530	552
Numero de Contratos	415	456	486	521	555	585	620	655	686	722	758	789
Ticket Medio Cliente	R$ 4.899	R$ 4.924	R$ 4.883	R$ 4.959	R$ 4.976	R$ 4.986	R$ 5.065	R$ 5.068	R$ 5.092	R$ 5.186	R$ 5.178	R$ 5.184
Ticket Medio Contratos	R$ 3.426	R$ 3.443	R$ 3.415	R$ 3.468	R$ 3.480	R$ 3.487	R$ 3.542	R$ 3.544	R$ 3.561	R$ 3.626	R$ 3.621	R$ 3.625
Churn Mês	R$ 104.117	R$ 114.096	R$ 123.177	R$ 133.691	R$ 143.259	R$ 151.966	R$ 162.589	R$ 172.256	R$ 181.053	R$ 191.758	R$ 201.500	R$ 210.365
Aliquota Imposto Efetiva	12,34%	16,82%	16,96%	17,89%	17,28%	19,00%	15,96%	19,89%	20,40%	20,27%	20,99%	20,87%
Geracao de caixa	R$ 24.212	R$ 168.073	R$ 185.117	R$ 234.634	R$ 231.546	R$ 315.009	R$ 213.304	R$ 405.247	R$ 452.654	R$ 482.286	R$ 546.230	R$ 564.770
Margem de geração	2,09%	13,26%	13,53%	15,80%	14,55%	18,66%	11,81%	21,17%	22,50%	22,64%	24,40%	24,16%
Saldo de Caixa	R$ 624.212	R$ 792.285	R$ 977.401	R$ 1.212.035	R$ 1.443.581	R$ 1.758.591	R$ 1.971.895	R$ 2.377.142	R$ 2.829.796	R$ 3.312.082	R$ 3.858.312	R$ 4.423.082
												
Numero de Colaboradores	126	129	138	143	147	151	158	163	166	172	175	179
Pessoas em CSV	87	89	96	100	104	107	114	118	120	125	128	131
Pessoas em CAC	27	28	30	31	31	31	31	32	33	34	34	35
Pessoas em SGEA	12	12	12	12	12	13	13	13	13	13	13	13
